"Part","Value","Device","Package","Description","TP_SIGNAL_NAME",
"C1","0.1uF","CAPACITOR_CERAMIC","0402","","",
"C2","47uF","CAP0805","0805","Capacitor","",
"C3","0.001uF","CAPACITOR_CERAMIC","0402","","",
"C4","20pF","CAPACITOR_CERAMIC","0402","","",
"C5","20pF","CAPACITOR_CERAMIC","0402","","",
"C6","0.1uF","CAPACITOR_CERAMIC","0402","","",
"C7","0.1uF","CAPACITOR_CERAMIC","0402","","",
"C8","47uF","CAP0805","0805","Capacitor","",
"C9","0.1uF","CAPACITOR_CERAMIC","0402","","",
"C10","2.2uF","CAP0603-CAP","0603-CAP","Capacitor","",
"C11","0.1uF","CAPACITOR_CERAMIC","0402","","",
"C12","0.1uF","CAPACITOR_CERAMIC","0402","","",
"C13","0.1uF","CAPACITOR_CERAMIC","0402","","",
"CN_BATT","CR20324_ELEVATED_PADS","CR20324_ELEVATED_PADS","BK-912-ALT","","",
"LED1","RGB_LED","RGB_LED","SML-LX0404SIUPGUSB","","",
"Q1","DMG1013T","MOSFET-PCHANNEL","SOT523","Generic PMOSFET","",
"Q2","PN TBD","MOSFET-PCHANNEL","SOT523","Generic PMOSFET","",
"R1","10K","RESISTOR","0402","","",
"R2","100K","RESISTOR","0402","","",
"R3","DNP","RESISTOR","0402","","",
"R4","120","RESISTOR","0402","","",
"R5","390","RESISTOR","0402","","",
"R6","150","RESISTOR","0402","","",
"TP1","PTR1TP06R","PTR1TP06R","TP06R","TEST PIN","",
"TP2","PTR1TP06R","PTR1TP06R","TP06R","TEST PIN","",
"TP3","PTR1TP06R","PTR1TP06R","TP06R","TEST PIN","",
"TP4","PTR1TP06R","PTR1TP06R","TP06R","TEST PIN","",
"TP5","PTR1TP06R","PTR1TP06R","TP06R","TEST PIN","",
"TP6","PTR1TP06R","PTR1TP06R","TP06R","TEST PIN","",
"TP7","PTR1TP06R","PTR1TP06R","TP06R","TEST PIN","",
"TP8","PTR1TP06R","PTR1TP06R","TP06R","TEST PIN","",
"TP9","PTR1TP06R","PTR1TP06R","TP06R","TEST PIN","",
"TP10","PTR1TP06R","PTR1TP06R","TP06R","TEST PIN","",
"TP11","PTR1TP06R","PTR1TP06R","TP06R","TEST PIN","",
"TP12","PTR1TP06R","PTR1TP06R","TP06R","TEST PIN","",
"TP14","PTR1TP06R","PTR1TP06R","TP06R","TEST PIN","",
"TP15","PTR1TP06R","PTR1TP06R","TP06R","TEST PIN","",
"TP16","PTR1TP06R","PTR1TP06R","TP06R","TEST PIN","",
"TP17","PTR1TP06R","PTR1TP06R","TP06R","TEST PIN","",
"TP19","PTR1TP14R","PTR1TP14R","TP14R","TEST PIN","",
"U$1","PROTO_POINT","PROTO_POINT","1X01","","",
"U$3","PROTO_POINT","PROTO_POINT","1X01","","",
"U$4","PROTO_POINT","PROTO_POINT","1X01","","",
"U$5","PROTO_POINT","PROTO_POINT","1X01","","",
"U$6","PROTO_POINT","PROTO_POINT","1X01","","",
"U$7","PROTO_POINT","PROTO_POINT","1X01","","",
"U$8","PROTO_POINT","PROTO_POINT","1X01","","",
"U$9","PROTO_POINT","PROTO_POINT","1X01","","",
"U$10","PROTO_POINT","PROTO_POINT","1X01","","",
"U$11","PROTO_POINT","PROTO_POINT","1X01","","",
"U$12","PROTO_POINT","PROTO_POINT","1X01","","",
"U$13","PROTO_POINT","PROTO_POINT","1X01","","",
"U$14","PROTO_POINT","PROTO_POINT","1X01","","",
"U$15","PROTO_POINT","PROTO_POINT","1X01","","",
"U$16","PROTO_POINT","PROTO_POINT","1X01","","",
"U$17","PROTO_POINT","PROTO_POINT","1X01","","",
"U$18","PROTO_POINT","PROTO_POINT","1X01","","",
"U$19","PROTO_POINT","PROTO_POINT","1X01","","",
"U$20","PROTO_POINT","PROTO_POINT","1X01","","",
"U$21","PROTO_POINT","PROTO_POINT","1X01","","",
"U$22","PROTO_POINT","PROTO_POINT","1X01","","",
"U$23","PROTO_POINT","PROTO_POINT","1X01","","",
"U$24","PROTO_POINT","PROTO_POINT","1X01","","",
"U$25","PROTO_POINT","PROTO_POINT","1X01","","",
"U$26","PROTO_POINT","PROTO_POINT","1X01","","",
"U$27","PROTO_POINT","PROTO_POINT","1X01","","",
"U$28","PROTO_POINT","PROTO_POINT","1X01","","",
"U$29","PROTO_POINT","PROTO_POINT","1X01","","",
"U$30","PROTO_POINT","PROTO_POINT","1X01","","",
"U$31","PROTO_POINT","PROTO_POINT","1X01","","",
"U$32","PROTO_POINT","PROTO_POINT","1X01","","",
"U$33","PROTO_POINT","PROTO_POINT","1X01","","",
"U$34","PROTO_POINT","PROTO_POINT","1X01","","",
"U$35","PROTO_POINT","PROTO_POINT","1X01","","",
"U$36","PROTO_POINT","PROTO_POINT","1X01","","",
"U$37","PROTO_POINT","PROTO_POINT","1X01","","",
"U$38","PROTO_POINT","PROTO_POINT","1X01","","",
"U$39","PROTO_POINT","PROTO_POINT","1X01","","",
"U$40","PROTO_POINT","PROTO_POINT","1X01","","",
"U$41","PROTO_POINT","PROTO_POINT","1X01","","",
"U$42","PROTO_POINT","PROTO_POINT","1X01","","",
"U$43","PROTO_POINT","PROTO_POINT","1X01","","",
"U$44","PROTO_POINT","PROTO_POINT","1X01","","",
"U$45","PROTO_POINT","PROTO_POINT","1X01","","",
"U$46","PROTO_POINT","PROTO_POINT","1X01","","",
"U$49","BEAN_PROGRAM_PIN","BEAN_PROGRAM_PIN","BEAN_PROGAM_PIN","","",
"U$50","BEAN_PROGRAM_PIN","BEAN_PROGRAM_PIN","BEAN_PROGAM_PIN","","",
"U$51","BEAN_PROGRAM_PIN","BEAN_PROGRAM_PIN","BEAN_PROGAM_PIN","","",
"U$52","PROTO_POINT","PROTO_POINT","1X01","","",
"U$53","PROTO_POINT","PROTO_POINT","1X01","","",
"U1","PTD0313001E","PTD0313001E","PTD0313001E","","",
"U2","ATMEGA328_SMT_28PIN28M1","ATMEGA328_SMT_28PIN28M1","QFN-28-4X4","","",
"U3","BMA250","BMA250","BMA250","Digital Accelerometer","",
"U4","CSTCE8M00G55-R0","RESONATOR_3PIN","CSTCE_G_3PIN_XTAL","","",
"Y1","9HT10","9HT10","9HT10","","",
